App Name,App ID,Platform,App URL,Created,Coppa Compliant
pelunova 1.0,206697571,ANDROID,,2025-07-16T23:45:56.933Z,False
pelunova 1.0,206432533,ANDROID,,2025-07-16T23:45:25.104Z,False
pelunova 1.0,206490320,ANDROID,,2025-07-16T23:41:35.979Z,True
